City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Prainha,-1.8,-53.48,83.1,80,77,4.34,BR,2022-04-02 19:20:00
223,Ruteng,-8.6136,120.4721,60.8,93,25,1.21,ID,2022-04-02 19:20:00
224,Airai,-8.9266,125.4092,56.98,74,25,1.66,TL,2022-04-02 19:20:01
225,Srednekolymsk,67.45,153.6833,-14.98,100,88,4.61,RU,2022-04-02 19:20:01
226,Grindavik,63.8424,-22.4338,46.35,100,75,17.27,IS,2022-04-02 19:20:02
227,Namwala,-15.7504,26.4384,67.06,79,5,3.58,ZM,2022-04-02 19:20:03
228,Iranshahr,27.2025,60.6848,79.14,11,0,6.91,IR,2022-04-02 19:20:03
229,Keflavik,64.0049,-22.5624,46.31,100,75,17.27,IS,2022-04-02 19:17:37
230,Belozerskoye,55.8214,65.5842,34.79,100,100,5.86,RU,2022-04-02 19:21:06
231,Teahupoo,-17.8333,-149.2667,78.76,78,100,13.27,PF,2022-04-02 19:21:06
232,Hakodate,41.7758,140.7367,37.27,70,5,9.42,JP,2022-04-02 19:21:07
233,Kerrville,30.0474,-99.1403,86.94,15,0,10.36,US,2022-04-02 19:19:56
234,Jalu,29.0331,21.5482,78.51,11,100,6.67,LY,2022-04-02 19:21:09
235,Uray,60.1247,64.7758,13.69,97,100,4.63,RU,2022-04-02 19:21:09
236,Umm Kaddadah,13.6017,26.6876,83.01,12,61,12.55,SD,2022-04-02 19:21:10
237,Gouyave,12.1646,-61.7296,83.17,65,20,23.02,GD,2022-04-02 19:21:10
238,Anloga,5.7947,0.8973,83.28,79,85,10.38,GH,2022-04-02 19:21:11
239,Kloulklubed,7.0419,134.2556,75.7,72,95,3.89,PW,2022-04-02 19:21:11
240,Taltal,-25.4,-70.4833,67.14,68,22,5.26,CL,2022-04-02 19:21:11
241,Marawi,7.9986,124.2928,68.32,97,100,1.12,PH,2022-04-02 19:21:12
242,Severo-Kurilsk,50.6789,156.125,27.46,67,100,28.86,RU,2022-04-02 19:18:07
243,Gayeri,12.6497,0.4931,95.83,25,100,7.38,BF,2022-04-02 19:21:12
244,Karratha,-20.7377,116.8463,81.16,78,1,6.89,AU,2022-04-02 19:19:03
245,Keti Bandar,24.1447,67.4497,79.25,64,0,10.76,PK,2022-04-02 19:21:13
246,Caravelas,-17.7125,-39.2481,82.9,63,0,7.38,BR,2022-04-02 19:21:14
247,Sao Felix Do Xingu,-6.6447,-51.995,85.73,68,15,4.03,BR,2022-04-02 19:21:14
248,Baker City,44.7749,-117.8344,49.59,35,0,23.02,US,2022-04-02 19:21:15
249,Provideniya,64.3833,-173.3,11.77,65,1,9.46,RU,2022-04-02 19:21:15
250,Denpasar,-8.65,115.2167,78.46,94,40,2.3,ID,2022-04-02 19:21:15
251,Turayf,31.6725,38.6637,77.25,18,0,6.91,SA,2022-04-02 19:21:16
252,Paungde,18.4833,95.5,81.03,67,17,10.02,MM,2022-04-02 19:21:16
253,Hefei,31.8639,117.2808,48.22,66,0,6.71,CN,2022-04-02 19:21:17
254,Kruisfontein,-34.0033,24.7314,61.88,87,99,9.15,ZA,2022-04-02 19:21:17
255,Krieglach,47.5333,15.55,35.6,85,100,5.03,AT,2022-04-02 19:21:18
256,Watertown,42.3709,-71.1828,55.31,26,0,20.71,US,2022-04-02 19:19:28
257,Humaita,-7.5061,-63.0208,71.73,97,100,2.19,BR,2022-04-02 19:21:18
